noc,participants,gold,silver,bronze,all_medals,gdp,population
Iraq,4,0,0,0,0,27692,22676
Ireland,64,0,1,0,1,81716,3792
Israel,39,0,0,1,1,98887,6115
Italy,361,13,8,13,34,1083598,57719
Jamaica,48,0,5,4,9,9411,2615
Japan,266,5,8,5,18,2628056,126729
Jordan,8,0,0,0,0,20437,4999
Kazakhstan,130,3,4,0,7,84902,15032
Kenya,56,2,3,2,7,30906,30508
North Korea,31,0,1,3,4,25310,21263
South Korea,281,8,10,10,28,673289,46839
Kuwait,29,0,0,1,1,19899,1974
Kyrgyzstan,18,0,0,1,1,10515,4851
Laos,3,0,0,0,0,6615,5498
Latvia,45,1,1,1,3,18281,2376
Lebanon,6,0,0,0,0,12184,3581
Lesotho,6,0,0,0,0,3037,2068
Liberia,8,0,0,0,0,2667,2695
Libya,3,0,0,0,0,11832,5115
Lithuania,61,2,0,3,5,23192,3654
Macedonia,8,0,0,1,1,6730,2015
Madagascar,11,0,0,0,0,10946,15742
Malawi,2,0,0,0,0,7388,11560
Malaysia,40,0,0,0,0,177955,21804
Mali,5,0,0,0,0,8981,10049
Mauritania,2,0,0,0,0,2713,2501
Mauritius,20,0,0,0,0,12563,1186
Mexico,78,1,2,3,6,726934,99927
Moldova,34,0,1,1,2,9425,4391
Mongolia,20,0,0,0,0,2821,2664
Morocco,55,0,1,4,5,80052,30184
Mozambique,5,1,0,0,1,24252,18125
Namibia,12,0,0,0,0,6931,1893
Nepal,5,0,0,0,0,24681,24818
Netherlands,243,12,9,4,25,352541,15908
New Zealand,151,1,0,3,4,61766,3802
Nicaragua,6,0,0,0,0,7500,4935
Niger,4,0,0,0,0,5115,10951
Nigeria,83,0,3,0,3,143018,123179
Norway,95,4,3,3,10,112768,4492
Oman,6,0,0,0,0,18027,2534
Pakistan,26,0,0,0,0,265634,146405
Panama,6,0,0,0,0,16400,2900
Paraguay,5,0,0,0,0,16835,5592
Peru,21,0,0,0,0,99573,26087
Philippines,21,0,0,0,0,193066,81222
Poland,187,6,5,3,14,282517,38654
Portugal,62,0,0,2,2,142770,10336
Puerto Rico,29,0,0,0,0,53826,3814
Qatar,17,0,0,1,1,6172,627
Romania,145,11,6,9,26,67480,22452
Russia,435,32,28,29,89,774253,146710
Rwanda,5,0,0,0,0,6146,8278
Saudi Arabia,0,0,1,1,2,177068,23147
Senegal,26,0,0,0,0,14022,10678
Seychelles,9,0,0,0,0,504,79
Sierra Leone,3,0,0,0,0,1971,4816
Singapore,14,0,0,0,0,90900,4037
Slovakia,114,1,3,1,5,44389,5400
Slovenia,74,2,0,0,2,25889,2011
Somalia,2,0,0,0,0,6260,7386
South Africa,127,0,2,3,5,175305,45064
Spain,326,3,3,5,11,625120,40016
Sri Lanka,18,0,1,0,1,69913,19436
Sudan,3,0,0,0,0,34773,34194
Swaziland,6,0,0,0,0,2919,1110
Sweden,149,4,5,3,12,183739,8872
Switzerland,105,1,6,2,9,163323,7267
Syria,8,0,0,0,0,120145,16306
Chinese Taipei,74,0,1,4,5,373438,22133
Tajikistan,4,0,0,0,0,5688,6230
Tanzania,4,0,0,0,0,17694,33712
Thailand,52,1,0,2,3,395791,61863
Togo,3,0,0,0,0,2894,4712
Trinidad and Tobago,19,0,1,1,2,15299,1252
Tunisia,47,0,0,0,0,43537,9568
Turkey,57,3,0,2,5,433992,67329
Turkmenistan,8,0,0,0,0,10503,4385
Uganda,13,0,0,0,0,18518,23956
Ukraine,230,3,10,10,23,134542,49005
United Arab Emirates,4,0,0,0,0,41621,3219
United States,586,37,24,33,94,8032209,282158
Uruguay,14,0,1,0,1,26203,3328
Uzbekistan,70,1,1,2,4,86123,25042
Venezuela,50,0,0,0,0,198105,23493
Vietnam,7,0,1,0,1,143002,79060
Yemen,2,0,0,0,0,45783,17495
Yugoslavia,111,1,1,1,3,108609,22507
Zambia,8,0,0,0,0,6529,10205
Zimbabwe,16,0,0,0,0,15604,11820
