South Korea,264,9,12,9,30,807459
Kuwait,29,0,0,0,0,26438
Kyrgyzstan,11,0,0,0,0,12641
Laos,5,0,0,0,0,8331
Latvia,35,0,4,0,4,25548
Lebanon,8,0,0,0,0,14705
Lesotho,3,0,0,0,0,3508
Liberia,2,0,0,0,0,2010
Libya,8,0,0,0,0,14127
Liechtenstein,1,0,0,0,0,0
Lithuania,59,1,2,0,3,31022
Luxembourg,10,0,0,0,0,0
Macedonia,10,0,0,0,0,6981
Madagascar,8,0,0,0,0,11711
Malawi,4,0,0,0,0,7892
Malaysia,26,0,0,0,0,210191
Maldives,4,0,0,0,0,0
Mali,23,0,0,0,0,11527
Malta,7,0,0,0,0,0
Mauritania,2,0,0,0,0,3275
Mauritius,9,0,0,0,0,15574
Mexico,109,0,3,1,4,772208
Micronesia,5,0,0,0,0,0
Moldova,33,0,0,0,0,12307
Monaco,3,0,0,0,0,0
Mongolia,20,0,0,1,1,3000
Morocco,55,2,1,0,3,98820
Mozambique,4,0,0,0,0,34140
Myanmar,2,0,0,0,0,0
Namibia,8,0,0,0,0,8011
Nauru,3,0,0,0,0,0
Nepal,6,0,0,0,0,27676
Netherlands,219,4,9,9,22,368824
Netherlands Antilles,3,0,0,0,0,0
New Zealand,148,3,2,0,5,71790
Nicaragua,5,0,0,0,0,8392
Niger,4,0,0,0,0,5850
Nigeria,70,0,0,2,2,175618
Norway,52,5,0,1,6,122439
Oman,2,0,0,0,0,21375
Pakistan,26,0,0,0,0,314348
Palau,4,0,0,0,0,0
Palestine,3,0,0,0,0,0
Panama,4,0,0,0,0,18219
Papua New Guinea,4,0,0,0,0,0
Paraguay,22,0,1,0,1,18559
Peru,9,0,0,0,0,114315
Philippines,16,0,0,0,0,228776
Poland,208,3,2,5,10,317349
Portugal,91,0,2,1,3,147841
Puerto Rico,43,0,0,0,0,57069
Qatar,22,0,0,0,0,8471
Romania,108,8,5,6,19,85241
Russia,456,27,27,38,92,0
Rwanda,5,0,0,0,0,7528
Saint Kitts and Nevis,2,0,0,0,0,0
Saint Lucia,2,0,0,0,0,0
Saint Vincent and the Grenadines,3,0,0,0,0,0
São Tomé and Príncipe,2,0,0,0,0,0
Samoa,3,0,0,0,0,0
San Marino,5,0,0,0,0,0
Saudi Arabia,16,0,0,0,0,202015
Senegal,16,0,0,0,0,16743
Serbia and Montenegro,85,0,2,0,2,0
Seychelles,9,0,0,0,0,456
Sierra Leone,2,0,0,0,0,3420
Singapore,16,0,0,0,0,102174
Slovakia,64,2,2,2,6,52383
Slovenia,79,0,1,3,4,29880
Solomon Islands,2,0,0,0,0,0
Somalia,2,0,0,0,0,7432
South Africa,106,1,3,2,6,195473
Spain,316,3,11,5,19,708466
Sri Lanka,8,0,0,0,0,79876
Sudan,4,0,0,0,0,44021
Suriname,4,0,0,0,0,0
Swaziland,3,0,0,0,0,3191
Sweden,115,4,2,1,7,200316
Switzerland,98,1,1,3,5,169781
Syria,6,0,0,1,1,137128
Chinese Taipei,87,2,2,1,5,0
Tajikistan,9,0,0,0,0,8366
Tanzania,8,0,0,0,0,22719
Thailand,42,3,1,4,8,483882
Timor-Leste,2,0,0,0,0,0
Togo,3,0,0,0,0,3275
Tonga,5,0,0,0,0,0
Trinidad and Tobago,19,0,0,1,1,20335
Tunisia,54,0,0,0,0,51991
Turkey,53,3,3,4,10,499422
Turkmenistan,9,0,0,0,0,13634
Uganda,11,0,0,0,0,22729
Ukraine,239,9,5,9,23,189548
United Arab Emirates,4,1,0,0,1,53311
United States,536,36,39,27,102,8738865
Uruguay,15,0,0,0,0,25744
Uzbekistan,70,2,1,2,5,105444
Vanuatu,2,0,0,0,0,0
Venezuela,48,0,0,2,2,203627
Vietnam,11,0,0,0,0,189263
Virgin Islands,6,0,0,0,0,0
Yemen,3,0,0,0,0,53251
Zambia,6,0,0,0,0,7836
Zimbabwe,13,1,1,1,3,12301
